78.2, 91, 92
78.4, 85, 89
78.6, 82, 88
78.8, 80, 87
79, 78, 86
79.2, 76, 85
79.4, 74, 85
79.6, 72, 84
79.8, 69, 84
80.0, 67, 83
80.2, 64, 83
80.4, 62, 82
80.6, 59, 82
80.8, 56, 81
81.0, 53, 81
81.2, 50, 80
81.4, 47, 80
81.6, 45, 80
81.8, 43, 79
82, 41, 79
82.5, 36, 78
83.0, 33, 78
83.5, 30, 77
84, 27, 76
84.5, 25, 75
85, 23, 74
85.5, 21, 73
86, 20, 72
86.5, 18, 71
87.0, 17, 70
87.5, 16, 69
88.0, 15, 68
88.5, 13, 67
89.0, 12, 65
89.5, 11, 63
90, 10, 61
90.5, 10, 59
91.0, 9, 57
91.5, 8, 55
92.0, 8, 53
92.5, 7, 51
93, 6, 49
93.5, 6, 46
94, 5, 44
94.5, 5, 42
95, 4, 39
95.5, 4, 36
96, 3, 33
96.5, 3, 30
97, 2, 27
97.5, 2, 23
98, 1, 19
98.5, 1, 15
99, 0, 10
99.5, 0, 5
100, 0, 0
